Time [s],ECI X_1 [km],ECI Y_1 [km],ECI Z_1 [km],ECI dX_1 [km/s],ECI dY_1 [km/s],ECI dZ_1 [km/s],sigma1_1,sigma2_1,sigma3_1,Omega1_1 [rad/s],Omega2_1 [rad/s],Omega3_1 [rad/s],ECI X_2 [km],ECI Y_2 [km],ECI Z_2 [km],ECI dX_2 [km/s],ECI dY_2 [km/s],ECI dZ_2 [km/s],sigma1_2,sigma2_2,sigma3_2,Omega1_2 [rad/s],Omega2_2 [rad/s],Omega3_2 [rad/s]
0,0,42464.0099999575,0,-3.06378606902967,3.06378606902967e-06,0,0,0,0.414213562373095,0,0,7.2150199440188e-05,0,42463.9999999575,0,-3.06378606902967,3.06378606902967e-06,0,0,0,0.414213562373095,0,0,0.00107215019944019
10,-30.6378754538983,42463.9989778376,1.48743176136837e-09,-3.06378750652133,-0.00220747505817219,4.88212059607792e-10,-6.07340159605731e-06,-7.13594530170746e-06,0.417357310762896,-6.36464423101719e-06,-5.06571146496686e-07,7.21458196839037e-05,-30.6378580320694,42463.9889778754,0,-3.06378527157372,-0.002207463779786,0,-6.07340159605731e-06,-7.13594530170746e-06,0.417357310762896,-6.36464423101719e-06,-5.06571146496686e-07,0.0010721458196839
20,-61.2757576113185,42463.9658502647,1.33354070991534e-08,-3.06378711698128,-0.00441803858486382,2.03267849006888e-09,-2.4224409526485e-05,-2.87174690293923e-05,0.420508076858299,-1.27276781235094e-05,-1.05858119543561e-06,7.21342812095441e-05,-61.2757001151416,42463.9558506079,0,-3.06378287922424,-0.00441799019172787,0,-2.4224409526485e-05,-2.87174690293923e-05,0.420508076858299,-1.27276781235094e-05,-1.05858119543561e-06,0.00107213428120954
30,-91.913625187412,42463.9106169287,4.46704855529193e-08,-3.06378461557258,-0.00662861905840994,4.33875955284996e-09,-5.43474715024693e-05,-6.5005742181623e-05,0.423665907314088,-1.90888396633306e-05,-1.65602448046024e-06,7.21155366125666e-05,-91.9135103002264,42463.9006180854,0,-3.06377889197621,-0.00662851429903332,0,-5.43474715024693e-05,-6.5005742181623e-05,0.423665907314088,-1.90888396633306e-05,-1.65602448046024e-06,0.00107211553661257
40,-122.551457757344,42463.8332776828,1.01830187638261e-07,-3.06378013493888,-0.00883921004932421,7.16279142833336e-09,-9.63346730499953e-05,-0.000116262777367402,0.426830848209068,-2.5447866348366e-05,-2.29889130012473e-06,7.20895350942527e-05,-122.551272638348,42463.8232803365,0,-3.06377330983171,-0.00883903495098072,0,-9.63346730499953e-05,-0.000116262777367402,0.426830848209068,-2.5447866348366e-05,-2.29889130012473e-06,0.00107208953509425
50,-153.18923604709,42463.7338324412,1.89044719473665e-07,-3.06377377392624,-0.0110498065632697,1.03238850898172e-08,-0.000150075722429768,-0.000182751426387243,0.430002945031153,-3.18044952370542e-05,-2.98716790373413e-06,7.20562224704404e-05,-153.188971180555,42463.7238374029,0,-3.06376613279374,-0.0110495509968503,0,-0.000150075722429768,-0.000182751426387243,0.430002945031153,-3.18044952370542e-05,-2.98716790373413e-06,0.00107205622247044
60,-183.82694163718,42463.6122811638,3.089800427757e-07,-3.06376560588075,-0.0132604046515945,1.36877678266785e-08,-0.000215457934754686,-0.000264735376971332,0.433182242662148,-3.81584629973912e-05,-3.72083647418427e-06,7.20155411819005e-05,-183.826589977932,42463.6022893371,0,-3.06375736086609,-0.0132600612859246,0,-0.000215457934754686,-0.000264735376971332,0.433182242662148,-3.81584629973912e-05,-3.72083647418427e-06,0.0010720155411819
70,-214.464556742247,42463.4686238469,4.63140955857711e-07,-3.06375568522728,-0.0154710011266073,1.7154763086834e-08,-0.000292366216113551,-0.000362479149634994,0.436368785362235,-4.45095059563203e-05,-4.49987511086274e-06,7.19674303058843e-05,-214.464113081603,42463.4586362022,0,-3.06374699405333,-0.0154705646674892,0,-0.000292366216113551,-0.000362479149634994,0.436368785362235,-4.45095059563203e-05,-4.49987511086274e-06,0.00107196743030588
80,-245.102064047444,42463.3028605167,6.52170248598478e-07,-3.06374405235146,-0.0176815933541683,2.06508717589702e-08,-0.000380683047694807,-0.000476248094657064,0.439562616754139,-5.08573601495023e-05,-5.32425781262339e-06,7.19118255688419e-05,-245.101524542744,42463.292878073,0,-3.06373503236084,-0.0176810599908331,0,-0.000380683047694807,-0.000476248094657064,0.439562616754139,-5.08573601495023e-05,-5.32425781262339e-06,0.00107191182556884
90,-275.739446587082,42463.1149912247,8.76070745000799e-07,-3.06373073722209,-0.0198921791026578,2.41211547183287e-08,-0.00048028846990389,-0.00060630838918661,0.442763779806977,-5.72017613714635e-05,-6.19395446084704e-06,7.18486593603131e-05,-275.738808412588,42463.1050150355,0,-3.06372147579486,-0.0198915461052498,0,-0.00048028846990389,-0.00060630838918661,0.442763779806977,-5.72017613714635e-05,-6.19395446084704e-06,0.00107184865936031
