Time [s],ECI X [km],ECI Y [km],ECI Y [km],ECI dX [km/s],ECI dY [km/s],ECI dZ [km/s],sigma1,sigma2,sigma3,Omega1 [rad/s],Omega2 [rad/s],Omega3 [rad/s],ECI X [km],ECI Y [km],ECI Z [km],ECI dX [km/s],ECI dY [km/s],ECI dZ [km/s],sigma1,sigma2,sigma3,Omega1 [rad/s],Omega2 [rad/s],Omega3 [rad/s]
0,42464.00754,0,0,0,3.063789133,0,0,0,0,0,0,7.22E-05,42463.95754,0,0,0,3.063789133,0,0,0,0,0,0,0.00207215
10,42463.98978,30.63788016,0,-0.00290472,3.063779018,0,0,0,0.010180728,0,0,7.22E-05,42463.94648,30.63788867,0,-0.002210532,3.063788335,0,0,0,0.010180728,0,0,0.00207215
20,42463.95061,61.2756449,0,-0.004937252,3.063768308,0,0,0,0.020363566,0,0,7.22E-05,42463.91333,61.27576139,0,-0.004421063,3.063785943,0,0,0,0.020363566,0,0,0.00207215
30,42463.89088,91.91330267,0,-0.007015052,3.063758259,0,0,0,0.030550627,0,0,7.22E-05,42463.85806,91.91360221,0,-0.006631591,3.063781956,0,0,0,0.030550627,0,0,0.00207215
40,42463.81019,122.5508579,0,-0.00912729,3.063748268,0,0,0,0.040744027,0,0,7.22E-05,42463.78069,122.5513952,0,-0.008842116,3.063776374,0,0,0,0.040744027,0,0,0.00207215
50,42463.70825,153.1883095,0,-0.011265079,3.063737891,0,0,0,0.050945887,0,0,7.22E-05,42463.68122,153.1891244,0,-0.011052637,3.063769196,0,0,0,0.050945887,0,0,0.00207215
60,42463.58483,183.8256525,0,-0.013421826,3.063726807,0,0,0,0.061158336,0,0,7.22E-05,42463.55964,183.8267738,0,-0.013263152,3.063760425,0,0,0,0.061158336,0,0,0.00207215
70,42463.43977,214.4628789,0,-0.015592635,3.063714778,0,0,0,0.071383509,0,0,7.22E-05,42463.41596,214.4643275,0,-0.015473659,3.063750058,0,0,0,0.071383509,0,0,0.00207215
80,42463.27295,245.0999788,0,-0.017773875,3.063701633,0,0,0,0.081623555,0,0,7.22E-05,42463.25017,245.1017696,0,-0.017684159,3.063738096,0,0,0,0.081623555,0,0,0.00207215
90,42463.08427,275.7369404,0,-0.019962852,3.063687245,0,0,0,0.091880635,0,0,7.22E-05,42463.06227,275.7390841,0,-0.01989465,3.063724539,0,0,0,0.091880635,0,0,0.00207215
100,42462.87367,306.373751,0,-0.022157566,3.063671523,0,0,0,0.102156921,0,0,7.22E-05,42462.85227,306.3762551,0,-0.02210513,3.063709388,0,0,0,0.102156921,0,0,0.00207215
110,42462.64111,337.0103971,0,-0.024356531,3.063654401,0,0,0,0.112454605,0,0,7.22E-05,42462.62017,337.0132666,0,-0.024315599,3.063692641,0,0,0,0.112454605,0,0,0.00207215
120,42462.38654,367.6468644,0,-0.026558646,3.063635829,0,0,0,0.122775895,0,0,7.22E-05,42462.36596,367.6501026,0,-0.026526055,3.0636743,0,0,0,0.122775895,0,0,0.00207215
130,42462.10993,398.2831384,0,-0.028763093,3.063615771,0,0,0,0.133123019,0,0,7.22E-05,42462.08965,398.2867473,0,-0.028736497,3.063654364,0,0,0,0.133123019,0,0,0.00207215
140,42461.81127,428.9192041,0,-0.030969264,3.063594202,0,0,0,0.143498228,0,0,7.22E-05,42461.79123,428.9231846,0,-0.030946924,3.063632833,0,0,0,0.143498228,0,0,0.00207215
150,42461.49055,459.5550463,0,-0.03317671,3.063571104,0,0,0,0.153903797,0,0,7.22E-05,42461.47071,459.5593986,0,-0.033157335,3.063609708,0,0,0,0.153903797,0,0,0.00207215
160,42461.14774,490.1906496,0,-0.035385094,3.063546461,0,0,0,0.164342024,0,0,7.22E-05,42461.12809,490.1953734,0,-0.035367729,3.063584987,0,0,0,0.164342024,0,0,0.00207215
170,42460.78285,520.8259987,0,-0.037594168,3.063520265,0,0,0,0.174815239,0,0,7.22E-05,42460.76336,520.831093,0,-0.037578105,3.063558672,0,0,0,0.174815239,0,0,0.00207215
180,42460.39586,551.4610779,0,-0.039803748,3.063492507,0,0,0,0.185325799,0,0,7.22E-05,42460.37652,551.4665415,0,-0.039788461,3.063530762,0,0,0,0.185325799,0,0,0.00207215
190,42459.98678,582.0958715,0,-0.042013694,3.063463183,0,0,0,0.195876096,0,0,7.22E-05,42459.96759,582.101703,0,-0.041998796,3.063501257,0,0,0,0.195876096,0,0,0.00207215
200,42459.5556,612.730364,0,-0.044223904,3.063432289,0,0,0,0.206468555,0,0,7.22E-05,42459.53655,612.7365614,0,-0.044209109,3.063470157,0,0,0,0.206468555,0,0,0.00207215
210,42459.10231,643.3645395,0,-0.046434303,3.063399821,0,0,0,0.217105639,0,0,7.22E-05,42459.08341,643.3711008,0,-0.0464194,3.063437463,0,0,0,0.217105639,0,0,0.00207215
