Time [s],ECI X [km],ECI Y [km],ECI Y [km],ECI dX [km/s],ECI dY [km/s],ECI dZ [km/s],Beta0,Beta1,Beta2,Beta3,Omega1 [rad/s],Omega2 [rad/s],Omega3 [rad/s],ECI X [km],ECI Y [km],ECI Z [km],ECI dX [km/s],ECI dY [km/s],ECI dZ [km/s],Beta0,Beta1,Beta2,Beta3,Omega1 [rad/s],Omega2 [rad/s],Omega3 [rad/s]
0,42463.96754,0,0,0,3.063789133,0,1,0,0,0,0,0,7.22E-05,42463.95754,0,0,0,3.063789133,0,1,0,0,0,0,0,7.22E-05
90,42463.07227,275.7391491,0,-0.01989465,3.063724539,0,0.999994729,0,0,0.00324676,0,0,7.22E-05,42463.06227,275.7390841,0,-0.01989465,3.063724539,0,0.999994729,0,0,0.00324676,0,0,7.22E-05
180,42460.38652,551.4666714,0,-0.039788461,3.063530762,0,0.999978917,0,0,0.006493485,0,0,7.22E-05,42460.37652,551.4665415,0,-0.039788461,3.063530762,0,0.999978917,0,0,0.006493485,0,0,7.22E-05
270,42455.9104,827.1709407,0,-0.059680594,3.063207808,0,0.999952564,0,0,0.009740142,0,0,7.22E-05,42455.9004,827.1707459,0,-0.059680594,3.063207808,0,0.999952564,0,0,0.009740142,0,0,7.22E-05
360,42449.64409,1102.840332,0,-0.079570211,3.062755691,0,0.999915669,0,0,0.012986697,0,0,7.22E-05,42449.63409,1102.840072,0,-0.079570211,3.062755691,0,0.999915669,0,0,0.012986697,0,0,7.22E-05
450,42441.58786,1378.463221,0,-0.099456472,3.062174432,0,0.999868234,0,0,0.016233114,0,0,7.22E-05,42441.57786,1378.462896,0,-0.099456472,3.062174432,0,0.999868234,0,0,0.016233114,0,0,7.22E-05
540,42431.74205,1654.027986,0,-0.11933854,3.061464053,0,0.999810259,0,0,0.019479361,0,0,7.22E-05,42431.73205,1654.027596,0,-0.11933854,3.061464053,0,0.999810259,0,0,0.019479361,0,0,7.22E-05
630,42420.10707,1929.523007,0,-0.139215576,3.060624586,0,0.999741745,0,0,0.022725402,0,0,7.22E-05,42420.09708,1929.522553,0,-0.139215576,3.060624586,0,0.999741745,0,0,0.022725402,0,0,7.22E-05
720,42406.68341,2204.936669,0,-0.159086742,3.059656065,0,0.999662691,0,0,0.025971203,0,0,7.22E-05,42406.67343,2204.93615,0,-0.159086742,3.059656065,0,0.999662691,0,0,0.025971203,0,0,7.22E-05
810,42391.47165,2480.257358,0,-0.1789512,3.058558531,0,0.9995731,0,0,0.029216731,0,0,7.22E-05,42391.46167,2480.256774,0,-0.1789512,3.058558531,0,0.9995731,0,0,0.029216731,0,0,7.22E-05
