ElapsedTime_s,Height_km,Latitude_deg,LongitudeE_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeE_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,
0.0,0.000,22.00,48.00,70782.555,70782.555,23.734,166.1,1.000e+05,1.740e-01,25.331,-38.082,900.2,1.000e+05,1.000,-0.000,166.1,1.000e+05,1.740e-01,0.0,1.740e-01,1.740e-01,1.740e-01,0.0,0.00,900.2,0.00,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.460e+03,1.410e+00,0.000,0.0000,
0.0,1.000,22.00,48.00,70783.555,70782.555,23.734,164.0,9.609e+04,1.656e-01,24.788,36.570,904.6,1.000e+05,0.961,0.987,164.0,9.609e+04,1.656e-01,0.0,1.656e-01,1.656e-01,1.656e-01,0.0,0.00,904.6,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,2.000,22.00,48.00,70784.555,70782.555,23.733,161.9,9.229e+04,1.611e-01,24.641,36.358,898.8,1.000e+05,0.923,1.977,161.9,9.229e+04,1.611e-01,0.0,1.611e-01,1.611e-01,1.611e-01,0.0,0.00,898.8,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,3.000,22.00,48.00,70785.555,70782.555,23.732,159.7,8.860e+04,1.567e-01,24.231,35.711,892.9,1.000e+05,0.886,2.934,159.7,8.860e+04,1.567e-01,0.0,1.567e-01,1.567e-01,1.567e-01,0.0,0.00,892.9,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,4.000,22.00,48.00,70786.555,70782.555,23.731,157.6,8.500e+04,1.524e-01,23.944,35.291,886.9,1.000e+05,0.850,3.891,157.6,8.500e+04,1.524e-01,0.0,1.524e-01,1.524e-01,1.524e-01,0.0,0.00,886.9,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,5.000,22.00,48.00,70787.555,70782.555,23.731,155.5,8.151e+04,1.481e-01,23.653,35.049,880.9,1.000e+05,0.815,4.837,155.5,8.151e+04,1.481e-01,0.0,1.481e-01,1.481e-01,1.481e-01,0.0,0.00,880.9,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,6.000,22.00,48.00,70788.555,70782.555,23.730,153.4,7.811e+04,1.439e-01,23.357,34.458,874.9,1.000e+05,0.781,5.770,153.4,7.811e+04,1.439e-01,0.0,1.439e-01,1.439e-01,1.439e-01,0.0,0.00,874.9,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,7.000,22.00,48.00,70789.555,70782.555,23.729,151.3,7.481e+04,1.397e-01,23.071,34.043,868.8,1.000e+05,0.748,6.696,151.3,7.481e+04,1.397e-01,0.0,1.397e-01,1.397e-01,1.397e-01,0.0,0.00,868.8,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,8.000,22.00,48.00,70790.555,70782.555,23.728,149.1,7.161e+04,1.357e-01,22.732,33.558,862.7,1.000e+05,0.716,7.592,149.1,7.161e+04,1.357e-01,0.0,1.357e-01,1.357e-01,1.357e-01,0.0,0.00,862.7,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,9.000,22.00,48.00,70791.555,70782.555,23.727,147.0,6.849e+04,1.316e-01,22.284,32.888,856.6,1.000e+05,0.685,8.435,147.0,6.849e+04,1.316e-01,0.0,1.316e-01,1.316e-01,1.316e-01,0.0,0.00,856.6,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,10.000,22.00,48.00,70792.555,70782.555,23.727,145.0,6.547e+04,1.276e-01,22.005,31.118,850.6,1.000e+05,0.655,9.320,145.0,6.547e+04,1.276e-01,0.0,1.276e-01,1.276e-01,1.276e-01,0.0,0.00,850.6,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,11.000,22.00,48.00,70793.555,70782.555,23.726,143.0,6.256e+04,1.236e-01,21.822,30.826,844.7,1.000e+05,0.626,10.237,143.0,6.256e+04,1.236e-01,0.0,1.236e-01,1.236e-01,1.236e-01,0.0,0.00,844.7,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,12.000,22.00,48.00,70794.555,70782.555,23.725,141.4,5.973e+04,1.194e-01,21.563,31.637,840.0,1.000e+05,0.597,11.111,141.4,5.973e+04,1.194e-01,0.0,1.194e-01,1.194e-01,1.194e-01,0.0,0.00,840.0,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,13.000,22.00,48.00,70795.555,70782.555,23.724,139.5,5.700e+04,1.154e-01,21.284,29.245,834.5,1.000e+05,0.570,11.963,139.5,5.700e+04,1.154e-01,0.0,1.154e-01,1.154e-01,1.154e-01,0.0,0.00,834.5,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,14.000,22.00,48.00,70796.555,70782.555,23.724,137.9,5.437e+04,1.114e-01,20.876,33.961,829.5,1.000e+05,0.544,12.723,137.9,5.437e+04,1.114e-01,0.0,1.114e-01,1.114e-01,1.114e-01,0.0,0.00,829.5,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,15.000,22.00,48.00,70797.555,70782.555,23.723,135.9,5.182e+04,1.077e-01,20.702,27.987,823.4,1.000e+05,0.518,13.611,135.9,5.182e+04,1.077e-01,0.0,1.077e-01,1.077e-01,1.077e-01,0.0,0.00,823.4,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,16.000,22.00,48.00,70798.555,70782.555,23.722,133.6,4.935e+04,1.043e-01,20.334,25.738,816.6,1.000e+05,0.493,14.361,133.6,4.935e+04,1.043e-01,0.0,1.043e-01,1.043e-01,1.043e-01,0.0,0.00,816.6,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,17.000,22.00,48.00,70799.555,70782.555,23.721,132.1,4.697e+04,1.004e-01,20.081,29.810,812.0,1.000e+05,0.470,15.175,132.1,4.697e+04,1.004e-01,0.0,1.004e-01,1.004e-01,1.004e-01,0.0,0.00,812.0,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.540e+03,1.410e+00,0.000,0.0000,
0.0,18.000,22.00,48.00,70800.555,70782.555,23.721,130.3,4.467e+04,9.683e-02,19.793,24.883,806.5,1.000e+05,0.447,15.950,130.3,4.467e+04,9.683e-02,0.0,9.683e-02,9.683e-02,9.683e-02,0.0,0.00,806.5,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.539e+03,1.410e+00,0.000,0.0000,
0.0,19.000,22.00,48.00,70801.555,70782.555,23.720,128.9,4.261e+04,9.325e-02,22.193,27.395,802.7,1.000e+05,0.426,18.933,128.9,4.261e+04,9.325e-02,0.0,9.325e-02,9.325e-02,9.325e-02,0.0,0.00,802.7,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.546e+03,1.410e+00,0.000,0.0000,
0.0,20.000,22.00,48.00,70802.555,70782.555,23.719,127.4,4.073e+04,8.988e-02,22.193,27.395,799.4,1.000e+05,0.407,19.933,127.4,4.073e+04,8.988e-02,0.0,8.988e-02,8.988e-02,8.988e-02,0.0,0.00,799.4,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.558e+03,1.410e+00,0.000,0.0000,
0.0,21.000,22.00,48.00,70803.555,70782.555,23.718,125.9,3.894e+04,8.665e-02,22.193,27.395,796.0,1.000e+05,0.389,20.933,125.9,3.894e+04,8.665e-02,0.0,8.665e-02,8.665e-02,8.665e-02,0.0,0.00,796.0,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.569e+03,1.410e+00,0.000,0.0000,
0.0,22.000,22.00,48.00,70804.555,70782.555,23.718,124.4,3.722e+04,8.355e-02,22.193,27.395,792.6,1.000e+05,0.372,21.933,124.4,3.722e+04,8.355e-02,0.0,8.355e-02,8.355e-02,8.355e-02,0.0,0.00,792.6,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.580e+03,1.410e+00,0.000,0.0000,
0.0,23.000,22.00,48.00,70805.555,70782.555,23.717,123.0,3.558e+04,8.057e-02,22.193,27.395,789.1,1.000e+05,0.356,22.933,123.0,3.558e+04,8.057e-02,0.0,8.057e-02,8.057e-02,8.057e-02,0.0,0.00,789.1,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.592e+03,1.410e+00,0.000,0.0000,
0.0,24.000,22.00,48.00,70806.555,70782.555,23.716,121.5,3.393e+04,7.762e-02,18.764,27.821,785.1,1.000e+05,0.339,20.280,121.5,3.393e+04,7.762e-02,0.0,7.762e-02,7.762e-02,7.762e-02,0.0,0.00,785.1,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
0.0,25.000,22.00,48.00,70807.555,70782.555,23.715,120.0,3.217e+04,7.446e-02,18.800,21.983,780.5,1.000e+05,0.322,21.324,120.0,3.217e+04,7.446e-02,0.0,7.446e-02,7.446e-02,7.446e-02,0.0,0.00,780.5,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.600e+03,1.410e+00,0.000,0.0000,
0.0,26.000,22.00,48.00,70808.555,70782.555,23.715,120.0,3.048e+04,7.062e-02,18.388,-50.409,780.1,1.000e+05,0.305,21.848,120.0,3.048e+04,7.062e-02,0.0,7.062e-02,7.062e-02,7.062e-02,0.0,0.00,780.1,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
0.0,27.000,22.00,48.00,70809.555,70782.555,23.714,116.9,2.885e+04,6.858e-02,18.169,23.922,770.2,1.000e+05,0.288,22.586,116.9,2.885e+04,6.858e-02,0.0,6.858e-02,6.858e-02,6.858e-02,0.0,0.00,770.2,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
0.0,28.000,22.00,48.00,70810.555,70782.555,23.713,113.7,2.725e+04,6.663e-02,17.802,54.661,759.4,1.000e+05,0.273,23.142,113.7,2.725e+04,6.663e-02,0.0,6.663e-02,6.663e-02,6.663e-02,0.0,0.00,759.4,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
0.0,29.000,22.00,48.00,70811.555,70782.555,23.712,111.6,2.573e+04,6.407e-02,17.219,22.737,752.4,1.000e+05,0.257,23.378,111.6,2.573e+04,6.407e-02,0.0,6.407e-02,6.407e-02,6.407e-02,0.0,0.00,752.4,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
0.0,30.000,22.00,48.00,70812.555,70782.555,23.712,110.7,2.427e+04,6.090e-02,17.156,44.157,749.6,1.000e+05,0.243,24.293,110.7,2.427e+04,6.090e-02,0.0,6.090e-02,6.090e-02,6.090e-02,0.0,0.00,749.6,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
0.0,31.000,22.00,48.00,70813.555,70782.555,23.711,114.2,2.291e+04,5.572e-02,17.518,9.361,761.3,1.000e+05,0.229,25.818,114.2,2.291e+04,5.572e-02,0.0,5.572e-02,5.572e-02,5.572e-02,0.0,0.00,761.3,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
0.0,32.000,22.00,48.00,70814.555,70782.555,23.710,113.0,2.163e+04,5.316e-02,16.977,-14.351,757.4,1.000e+05,0.216,25.992,113.0,2.163e+04,5.316e-02,0.0,5.316e-02,5.316e-02,5.316e-02,0.0,0.00,757.4,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
0.0,33.000,22.00,48.00,70815.555,70782.555,23.709,110.7,2.041e+04,5.124e-02,17.173,10.342,749.4,1.000e+05,0.204,27.291,110.7,2.041e+04,5.124e-02,0.0,5.124e-02,5.124e-02,5.124e-02,0.0,0.00,749.4,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.598e+03,1.410e+00,0.000,0.0000,
0.0,34.000,22.00,48.00,70816.555,70782.555,23.708,112.2,1.926e+04,4.768e-02,17.297,12.627,754.7,1.000e+05,0.193,28.493,112.2,1.926e+04,4.768e-02,0.0,4.768e-02,4.768e-02,4.768e-02,0.0,0.00,754.7,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.600e+03,1.410e+00,0.000,0.0000,
0.0,35.000,22.00,48.00,70817.555,70782.555,23.708,109.0,1.816e+04,4.629e-02,16.952,-24.833,743.7,1.000e+05,0.182,28.922,109.0,1.816e+04,4.629e-02,0.0,4.629e-02,4.629e-02,4.629e-02,0.0,0.00,743.7,199.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.599e+03,1.410e+00,0.000,0.0000,
0.0,36.000,22.00,48.00,70818.555,70782.555,23.707,109.9,1.711e+04,4.326e-02,17.042,13.201,746.9,1.000e+05,0.171,30.085,109.9,1.711e+04,4.326e-02,0.0,4.326e-02,4.326e-02,4.326e-02,0.0,0.00,746.9,199.50,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,325.53,-1.54,277.52,20.70,127.02,45.08,5.20,35733.2,0.0000e+00,3.600e+03,1.410e+00,0.000,0.0000,
