     Time  HgtMOLA LatPC   LonE    Denkgm3   Temp  EWind  NWind  sigD  Ls   Dust  LTST CO2%m  N2%m  Ar%m  O2%m  CO%m   O%m  He%m  H2%m   H%m H2O%m  DensP
        0.   0.00  18.44   77.45 1.466E-02  214.1    5.4    9.2   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.045
        0.   0.50  18.44   77.45 1.394E-02  214.9    6.3    9.0   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.044
        0.   1.00  18.44   77.45 1.327E-02  215.7    7.0    8.9   2.0   5.5 0.31  7.25 96.58  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.033
        0.   1.50  18.44   77.45 1.274E-02  215.0    8.8    8.2   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.044
        0.   2.00  18.44   77.45 1.223E-02  214.2   10.6    7.6   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.044
        0.   2.50  18.44   77.45 1.171E-02  213.5   12.0    6.8   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.042
        0.   3.00  18.44   77.45 1.122E-02  212.8   13.4    6.1   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.023
        0.   3.50  18.44   77.45 1.073E-02  212.2   14.4    5.2   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.024
        0.   4.00  18.44   77.45 1.027E-02  211.5   15.5    4.2   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.009
        0.   4.50  18.44   77.45 9.820E-03  211.0   16.6    4.1   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.005
        0.   5.00  18.44   77.45 9.393E-03  210.6   17.6    4.0   2.0   5.5 0.31  7.25 96.59  1.74  1.49  0.09  0.06  0.00  0.00  0.00  0.00  0.02  1.008
