ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2021, Month=  4, Day=  1, Hour=21.00,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   40.00, Longitude=   40.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=   500.00 Step=     0.50

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
3  Temperature_neutral, K

1         2         3         
    0.0 1.233E-03  286.4
    0.5 1.168E-03  284.8
    1.0 1.108E-03  282.7
    1.5 1.052E-03  280.1
    2.0 1.000E-03  277.2
    2.5 9.516E-04  274.0
    3.0 9.053E-04  270.5
    3.5 8.613E-04  266.8
    4.0 8.192E-04  263.1
    4.5 7.788E-04  259.2
    5.0 7.399E-04  255.4
    5.5 7.023E-04  251.5
    6.0 6.660E-04  247.8
    6.5 6.307E-04  244.1
    7.0 5.965E-04  240.6
    7.5 5.634E-04  237.2
    8.0 5.313E-04  234.0
    8.5 5.002E-04  231.0
    9.0 4.701E-04  228.2
    9.5 4.410E-04  225.7
   10.0 4.131E-04  223.4
   10.5 3.861E-04  221.4
   11.0 3.604E-04  219.6
   11.5 3.358E-04  218.0
   12.0 3.125E-04  216.7
   12.5 2.904E-04  215.5
   13.0 2.696E-04  214.5
   13.5 2.500E-04  213.7
   14.0 2.316E-04  213.0
   14.5 2.143E-04  212.5
   15.0 1.982E-04  212.1
   15.5 1.832E-04  211.8
   16.0 1.692E-04  211.6
   16.5 1.562E-04  211.6
   17.0 1.442E-04  211.6
   17.5 1.330E-04  211.7
   18.0 1.226E-04  211.9
   18.5 1.131E-04  212.2
   19.0 1.042E-04  212.5
   19.5 9.606E-05  212.9
   20.0 8.854E-05  213.3
   20.5 8.160E-05  213.7
   21.0 7.521E-05  214.2
   21.5 6.933E-05  214.7
   22.0 6.391E-05  215.3
   22.5 5.891E-05  215.9
   23.0 5.432E-05  216.5
   23.5 5.008E-05  217.2
   24.0 4.618E-05  217.9
   24.5 4.259E-05  218.6
   25.0 3.929E-05  219.3
   25.5 3.625E-05  220.1
   26.0 3.345E-05  220.9
   26.5 3.087E-05  221.8
   27.0 2.849E-05  222.6
   27.5 2.630E-05  223.5
   28.0 2.429E-05  224.5
   28.5 2.244E-05  225.4
   29.0 2.073E-05  226.4
   29.5 1.916E-05  227.4
   30.0 1.771E-05  228.4
   30.5 1.637E-05  229.4
   31.0 1.514E-05  230.5
   31.5 1.401E-05  231.6
   32.0 1.296E-05  232.7
   32.5 1.200E-05  233.8
   33.0 1.111E-05  235.0
   33.5 1.028E-05  236.4
   34.0 9.517E-06  237.8
   34.5 8.809E-06  239.3
   35.0 8.155E-06  241.0
   35.5 7.552E-06  242.7
   36.0 6.994E-06  244.5
   36.5 6.480E-06  246.4
   37.0 6.006E-06  248.3
   37.5 5.570E-06  250.2
   38.0 5.167E-06  252.2
   38.5 4.796E-06  254.2
   39.0 4.455E-06  256.2
   39.5 4.141E-06  258.1
   40.0 3.851E-06  260.1
   40.5 3.585E-06  262.0
   41.0 3.339E-06  263.8
   41.5 3.113E-06  265.5
   42.0 2.905E-06  267.1
   42.5 2.713E-06  268.5
   43.0 2.536E-06  269.8
   43.5 2.373E-06  270.9
   44.0 2.223E-06  271.9
   44.5 2.084E-06  272.6
   45.0 1.956E-06  273.0
   45.5 1.838E-06  273.3
   46.0 1.728E-06  273.2
   46.5 1.627E-06  273.0
   47.0 1.532E-06  272.5
   47.5 1.444E-06  271.8
   48.0 1.361E-06  271.0
   48.5 1.284E-06  270.0
   49.0 1.211E-06  268.9
   49.5 1.143E-06  267.6
   50.0 1.079E-06  266.2
   50.5 1.018E-06  264.8
   51.0 9.611E-07  263.3
   51.5 9.069E-07  261.7
   52.0 8.557E-07  260.1
   52.5 8.070E-07  258.5
   53.0 7.609E-07  256.8
   53.5 7.172E-07  255.2
   54.0 6.756E-07  253.6
   54.5 6.362E-07  252.1
