ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,0.000,22.00,48.00,24703.308,24703.308,10.985,71.1,1.000e+05,4.425e-01,23.793,41.949,608.1,1.000e+05,1.000,-0.000,71.5,1.000e+05,4.402e-01,0.0,4.339e-01,4.514e-01,4.481e-01,1.3,1.98,604.3,0.00,0.5,-1.4,2.5,1.8,-310.8,0.0,-7.6,46.6,-318.4,46.6,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,1.0207e+26,3.177e+03,1.636e+00,2.611,0.9977,8.1373e+25,61.69,79.73,2.02,1.9088e+25,28.65,18.70,4.00,1.6051e+24,9.66,1.57,16.04,-0.099
0.0,1.000,22.00,48.00,24704.308,24703.308,10.984,70.2,9.503e+04,4.261e-01,19.593,26.702,604.2,1.000e+05,0.950,1.000,70.6,9.506e+04,4.239e-01,0.0,4.171e-01,4.353e-01,4.316e-01,1.3,2.14,600.4,2.26,0.5,-1.6,2.7,1.8,-310.2,0.0,-2.0,49.4,-312.1,49.4,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,9.8315e+25,3.177e+03,1.637e+00,2.611,0.9976,7.8382e+25,61.69,79.73,2.02,1.8386e+25,28.65,18.70,4.00,1.5459e+24,9.66,1.57,16.04,-0.099
0.0,2.000,22.00,48.00,24705.308,24703.308,10.983,69.3,9.030e+04,4.104e-01,19.593,26.702,600.3,1.000e+05,0.903,2.000,69.7,9.036e+04,4.083e-01,0.0,4.010e-01,4.199e-01,4.155e-01,1.2,2.30,596.6,2.30,0.5,-1.8,2.8,1.8,-309.5,0.0,-3.5,48.3,-313.0,48.3,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,9.4701e+25,3.177e+03,1.638e+00,2.611,0.9976,7.5502e+25,61.69,79.73,2.02,1.7710e+25,28.65,18.70,4.00,1.4888e+24,9.66,1.57,16.04,-0.099
0.0,3.000,22.00,48.00,24706.308,24703.308,10.982,68.3,8.581e+04,3.953e-01,19.593,26.702,596.4,1.000e+05,0.858,3.000,68.7,8.589e+04,3.933e-01,0.0,3.857e-01,4.051e-01,4.033e-01,2.0,2.46,590.5,2.34,0.5,-1.9,3.0,2.5,-308.8,0.0,-5.3,42.5,-314.2,42.5,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,9.1220e+25,3.177e+03,1.639e+00,2.611,0.9976,7.2727e+25,61.69,79.73,2.02,1.7059e+25,28.65,18.70,4.00,1.4339e+24,9.66,1.57,16.04,-0.099
0.0,4.000,22.00,48.00,24707.308,24703.308,10.981,67.4,8.154e+04,3.808e-01,19.593,26.702,592.5,1.000e+05,0.815,4.000,67.8,8.164e+04,3.790e-01,0.0,3.710e-01,3.909e-01,3.894e-01,2.2,2.62,586.0,2.39,0.5,-2.1,3.2,2.7,-308.2,0.0,-2.4,40.8,-310.6,40.8,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,8.7868e+25,3.177e+03,1.639e+00,2.611,0.9976,7.0054e+25,61.69,79.73,2.02,1.6432e+25,28.65,18.70,4.00,1.3809e+24,9.66,1.57,16.04,-0.099
0.0,5.000,22.00,48.00,24708.308,24703.308,10.980,66.5,7.748e+04,3.670e-01,19.593,26.702,588.6,1.000e+05,0.775,5.000,66.9,7.760e+04,3.652e-01,0.0,3.569e-01,3.773e-01,3.795e-01,3.4,2.77,578.8,2.43,0.5,-2.3,3.3,3.9,-307.5,0.0,-5.4,35.9,-312.9,35.9,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,8.4638e+25,3.177e+03,1.641e+00,2.611,0.9975,6.7480e+25,61.69,79.73,2.02,1.5828e+25,28.65,18.70,4.00,1.3300e+24,9.65,1.57,16.04,-0.099
0.0,6.000,22.00,48.00,24709.308,24703.308,10.979,65.5,7.340e+04,3.528e-01,18.481,25.742,584.5,1.000e+05,0.734,5.716,65.9,7.354e+04,3.512e-01,0.0,3.426e-01,3.633e-01,3.641e-01,3.2,2.93,575.3,2.48,0.5,-2.4,3.5,3.7,-306.8,0.0,-4.6,35.2,-311.5,35.2,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,8.1413e+25,3.177e+03,1.642e+00,2.611,0.9975,6.4909e+25,61.69,79.73,2.02,1.5225e+25,28.66,18.70,4.00,1.2791e+24,9.65,1.57,16.04,-0.099
0.0,7.000,22.00,48.00,24710.308,24703.308,10.978,64.5,6.954e+04,3.393e-01,18.481,25.742,580.3,1.000e+05,0.695,6.716,64.9,6.970e+04,3.377e-01,0.0,3.290e-01,3.499e-01,3.541e-01,4.4,3.09,568.0,2.53,0.5,-2.6,3.6,4.8,-306.2,0.0,-0.7,32.7,-306.8,32.7,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,7.8311e+25,3.177e+03,1.643e+00,2.611,0.9975,6.2435e+25,61.69,79.73,2.02,1.4645e+25,28.66,18.70,4.00,1.2301e+24,9.65,1.57,16.04,-0.099
0.0,8.000,22.00,48.00,24711.308,24703.308,10.977,63.5,6.587e+04,3.264e-01,18.481,25.742,576.1,1.000e+05,0.659,7.716,64.0,6.605e+04,3.249e-01,0.0,3.159e-01,3.371e-01,3.405e-01,4.3,3.25,564.0,2.58,0.4,-2.8,3.8,4.8,-305.5,0.0,-1.8,35.0,-307.3,35.0,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,7.5327e+25,3.177e+03,1.644e+00,2.610,0.9975,6.0056e+25,61.69,79.73,2.02,1.4087e+25,28.66,18.70,4.00,1.1830e+24,9.65,1.57,16.04,-0.099
0.0,9.000,22.00,48.00,24712.308,24703.308,10.976,62.6,6.240e+04,3.140e-01,18.481,25.742,571.8,1.000e+05,0.624,8.716,63.0,6.260e+04,3.126e-01,0.0,3.035e-01,3.249e-01,3.271e-01,4.2,3.40,560.2,2.64,0.4,-2.9,3.9,4.6,-304.8,0.0,0.5,31.7,-304.3,31.7,25.0,25.0,305.67,-21.99,283.60,3.71,129.03,240.92,29.92,57996.0,7.2456e+25,3.177e+03,1.645e+00,2.610,0.9975,5.7768e+25,61.69,79.73,2.02,1.3551e+25,28.66,18.70,4.00,1.1377e+24,9.65,1.57,16.04,-0.099
