ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,Arnd_m3,Armass_pct,Armole_pct,Aramw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,MinMaxFactor
0.0,0.000,22.00,48.00,2575.500,2575.500,1.353,93.9,1.481e+05,5.475e+00,19.903,28.098,199.9,1.481e+05,1.000,-0.000,93.3,1.465e+05,5.435e+00,0.0,5.315e+00,5.639e+00,5.578e+00,1.9,2.96,198.0,0.00,0.7,-2.2,3.8,2.6,0.4,0.0,-2.1,13.1,-1.7,13.1,7.0,7.0,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1738e+26,2.880e+02,1.478e+00,27.883,0.9657,2.8359e+24,3.15,2.42,36.40,1.1142e+26,95.32,94.92,28.00,3.1295e+24,1.53,2.67,16.00,0.113
0.0,0.500,22.00,48.00,2576.000,2575.500,1.353,93.2,1.444e+05,5.378e+00,19.903,28.098,198.8,1.481e+05,0.975,0.500,92.6,1.428e+05,5.339e+00,0.0,5.216e+00,5.545e+00,5.477e+00,1.8,3.05,197.0,2.49,0.7,-2.3,3.9,2.6,1.5,0.0,-0.5,14.0,1.0,14.0,7.1,7.1,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1531e+26,2.880e+02,1.472e+00,27.883,0.9659,2.7859e+24,3.15,2.42,36.40,1.0945e+26,95.32,94.92,28.00,3.0743e+24,1.53,2.67,16.00,0.113
0.0,1.000,22.00,48.00,2576.500,2575.500,1.352,92.5,1.408e+05,5.282e+00,19.769,27.598,197.8,1.481e+05,0.951,0.997,91.9,1.393e+05,5.243e+00,0.0,5.118e+00,5.451e+00,5.372e+00,1.7,3.15,196.1,2.48,0.7,-2.4,4.0,2.5,2.3,0.0,-0.9,13.8,1.3,13.8,7.1,7.1,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1324e+26,2.881e+02,1.467e+00,27.883,0.9661,2.7359e+24,3.15,2.42,36.40,1.0749e+26,95.32,94.92,28.00,3.0191e+24,1.53,2.67,16.00,0.113
0.0,1.500,22.00,48.00,2577.000,2575.500,1.352,91.8,1.372e+05,5.186e+00,19.639,27.406,196.7,1.481e+05,0.927,1.490,91.2,1.357e+05,5.147e+00,0.0,5.020e+00,5.357e+00,5.326e+00,2.7,3.25,194.1,2.48,0.8,-2.5,4.1,3.5,3.0,0.0,-1.5,12.2,1.5,12.2,7.2,7.2,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.1119e+26,2.881e+02,1.463e+00,27.883,0.9663,2.6864e+24,3.15,2.42,36.40,1.0554e+26,95.32,94.92,28.00,2.9645e+24,1.53,2.67,16.00,0.113
0.0,2.000,22.00,48.00,2577.500,2575.500,1.351,91.2,1.338e+05,5.092e+00,19.493,27.213,195.7,1.481e+05,0.903,1.979,90.5,1.323e+05,5.053e+00,0.0,4.924e+00,5.265e+00,5.239e+00,2.9,3.34,193.0,2.47,0.8,-2.6,4.2,3.7,3.6,0.0,-0.6,11.8,3.0,11.8,7.3,7.3,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0917e+26,2.882e+02,1.458e+00,27.883,0.9664,2.6375e+24,3.15,2.42,36.40,1.0362e+26,95.32,94.92,28.00,2.9105e+24,1.53,2.67,16.00,0.113
0.0,2.500,22.00,48.00,2578.000,2575.500,1.351,90.5,1.304e+05,4.996e+00,19.309,26.268,194.8,1.481e+05,0.880,2.460,89.9,1.289e+05,4.958e+00,0.0,4.827e+00,5.170e+00,5.209e+00,4.3,3.44,190.7,2.46,0.8,-2.6,4.3,5.1,4.2,0.0,-1.5,10.5,2.7,10.5,7.3,7.3,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0711e+26,2.882e+02,1.454e+00,27.883,0.9667,2.5877e+24,3.15,2.42,36.40,1.0167e+26,95.32,94.92,28.00,2.8557e+24,1.53,2.67,16.00,0.113
0.0,3.000,22.00,48.00,2578.500,2575.500,1.350,89.9,1.270e+05,4.902e+00,19.309,26.268,193.8,1.481e+05,0.858,2.960,89.3,1.256e+05,4.864e+00,0.0,4.731e+00,5.078e+00,5.093e+00,3.9,3.54,190.1,2.46,0.8,-2.7,4.4,4.7,4.8,0.0,-1.3,10.4,3.5,10.4,7.4,7.4,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0509e+26,2.883e+02,1.449e+00,27.883,0.9669,2.5390e+24,3.15,2.42,36.40,9.9750e+25,95.32,94.92,28.00,2.8018e+24,1.53,2.67,16.00,0.113
0.0,3.500,22.00,48.00,2579.000,2575.500,1.350,89.4,1.237e+05,4.802e+00,19.084,24.288,193.0,1.481e+05,0.836,3.426,88.7,1.223e+05,4.764e+00,0.0,4.630e+00,4.979e+00,5.048e+00,5.1,3.63,188.2,2.45,0.8,-2.8,4.5,6.0,5.4,0.0,-0.2,9.8,5.2,9.8,7.5,7.5,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0295e+26,2.884e+02,1.445e+00,27.883,0.9672,2.4872e+24,3.15,2.42,36.40,9.7717e+25,95.32,94.92,28.00,2.7447e+24,1.53,2.67,16.00,0.113
0.0,4.000,22.00,48.00,2579.500,2575.500,1.349,88.8,1.205e+05,4.704e+00,19.084,24.288,192.2,1.481e+05,0.814,3.926,88.2,1.192e+05,4.667e+00,0.0,4.532e+00,4.883e+00,4.939e+00,5.0,3.73,187.6,2.44,0.8,-2.9,4.6,5.8,6.0,0.0,-0.5,10.5,5.5,10.5,7.6,7.6,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,1.0085e+26,2.885e+02,1.442e+00,27.883,0.9675,2.4365e+24,3.15,2.42,36.40,9.5726e+25,95.32,94.92,28.00,2.6888e+24,1.53,2.67,16.00,0.113
0.0,4.500,22.00,48.00,2580.000,2575.500,1.349,88.4,1.174e+05,4.600e+00,18.913,22.351,191.6,1.481e+05,0.793,4.391,87.8,1.160e+05,4.563e+00,0.0,4.427e+00,4.779e+00,4.817e+00,4.7,3.83,187.2,2.44,0.8,-3.0,4.7,5.6,6.5,0.0,0.2,9.6,6.7,9.6,7.6,7.6,137.02,17.73,139.18,18.08,84.48,74.92,9.94,1377648.0,9.8620e+25,2.886e+02,1.438e+00,27.883,0.9680,2.3826e+24,3.15,2.42,36.40,9.3608e+25,95.32,94.92,28.00,2.6293e+24,1.53,2.67,16.00,0.113
