Altitude,Temperature,Density
[m],[Kelvin],[kg/m3]
-5000,320.65,1.93047
-4500,317.4,1.84856
-4000,314.15,1.76933
-3500,310.9,1.69273
-3000,307.65,1.6187
-2500,304.4,1.54717
-2000,301.15,1.47808
-1500,297.9,1.41137
-1000,294.65,1.347
-500,291.4,1.28489
0,288.15,1.225
500,284.9,1.16727
1000,281.65,1.11164
1500,278.4,1.05807
2000,275.15,1.00649
2500,271.9,0.956859
3000,268.65,0.909122
3500,265.4,0.863229
4000,262.15,0.819129
4500,258.9,0.776775
5000,255.65,0.736116
5500,252.4,0.697106
6000,249.15,0.659697
6500,245.9,0.623844
7000,242.65,0.589501
7500,239.4,0.556624
8000,236.15,0.525168
8500,232.9,0.49509
9000,229.65,0.466348
9500,226.4,0.438901
10000,223.15,0.412707
10500,219.9,0.387725
11000,216.65,0.363918
11500,216.65,0.336327
12000,216.65,0.310828
12500,216.65,0.287262
13000,216.65,0.265483
13500,216.65,0.245355
14000,216.65,0.226753
14500,216.65,0.209562
15000,216.65,0.193674
15500,216.65,0.17899
16000,216.65,0.16542
16500,216.65,0.152878
17000,216.65,0.141288
17500,216.65,0.130576
18000,216.65,0.120676
18500,216.65,0.111527
19000,216.65,0.103071
19500,216.65,0.0952569
20000,216.65,0.0880349
20500,217.15,0.0811804
21000,217.65,0.0748737
21500,218.15,0.0690697
22000,218.65,0.0637273
22500,219.15,0.0588091
23000,219.65,0.0542803
23500,220.15,0.0501094
24000,220.65,0.0462674
24500,221.15,0.0427276
25000,221.65,0.0394658
25500,222.15,0.0364595
26000,222.65,0.0336882
26500,223.15,0.0311331
27000,223.65,0.0287769
27500,224.15,0.0266036
28000,224.65,0.0245988
28500,225.15,0.022749
29000,225.65,0.021042
29500,226.15,0.0194664
30000,226.65,0.0180119
30500,227.15,0.016669
31000,227.65,0.0154288
31500,228.15,0.0142832
32000,228.65,0.013225
32500,230.05,0.0122011
33000,231.45,0.011262
33500,232.85,0.0104002
34000,234.25,0.00960889
34500,235.65,0.008882
35000,237.05,0.00821392
35500,238.45,0.00759959
36000,239.85,0.00703441
36500,241.25,0.00651419
37000,242.65,0.00603513
37500,244.05,0.00559375
38000,245.45,0.00518691
38500,246.85,0.00481172
39000,248.25,0.00446557
39500,249.65,0.00414606
40000,251.05,0.00385101
40500,252.45,0.00357842
41000,253.85,0.00332648
41500,255.25,0.00309352
42000,256.65,0.00287802
42500,258.05,0.00267858
43000,259.45,0.00249393
43500,260.85,0.00232291
44000,262.25,0.00216443
44500,263.65,0.00201752
45000,265.05,0.00188129
45500,266.45,0.0017549
46000,267.85,0.0016376
46500,269.25,0.00152869
47000,270.65,0.00142753
47500,270.65,0.00134022
48000,270.65,0.00125825
48500,270.65,0.00118129
49000,270.65,0.00110904
49500,270.65,0.00104121
50000,270.65,0.000977525
50500,270.65,0.000917737
51000,270.65,0.000861606
51500,269.25,0.00081298
52000,267.85,0.000766867
52500,266.45,0.000723147
53000,265.05,0.00068171
53500,263.65,0.000642446
54000,262.25,0.000605252
54500,260.85,0.00057003
55000,259.45,0.000536684
55500,258.05,0.000505124
56000,256.65,0.000475263
56500,255.25,0.000447019
57000,253.85,0.000420311
57500,252.45,0.000395065
58000,251.05,0.000371207
58500,249.65,0.000348668
59000,248.25,0.000327382
59500,246.85,0.000307287
60000,245.45,0.000288321
60500,244.05,0.000270427
61000,242.65,0.00025355
61500,241.25,0.000237638
62000,239.85,0.00022264
62500,238.45,0.000208509
63000,237.05,0.0001952
63500,235.65,0.000182669
64000,234.25,0.000170875
64500,232.85,0.000159778
65000,231.45,0.000149342
65500,230.05,0.00013953
66000,228.65,0.000130308
66500,227.25,0.000121645
67000,225.85,0.00011351
67500,224.45,0.000105873
68000,223.05,9.87069E-05
68500,221.65,9.19852E-05
69000,220.25,0.000085683
69500,218.85,7.97764E-05
70000,217.45,0.000074243
70500,216.05,6.90613E-05
71000,214.65,0.000064211
71500,213.65,5.95657E-05
72000,212.65,0.000055237
72500,211.65,5.12046E-05
73000,210.65,4.74496E-05
73500,209.65,0.000043954
74000,208.65,0.000040701
74500,207.65,3.76748E-05
75000,206.65,3.48607E-05
75500,205.65,3.22446E-05
76000,204.65,2.98135E-05
76500,203.65,2.75551E-05
77000,202.65,2.54579E-05
77500,201.65,2.35111E-05
78000,200.65,2.17046E-05
78500,199.65,2.00289E-05
79000,198.65,1.84751E-05
79500,197.65,1.70349E-05
80000,196.65,1.57005E-05
80500,195.65,1.44647E-05
81000,194.65,1.33205E-05
81500,193.65,1.22616E-05
82000,192.65,0.000011282
82500,191.65,1.03762E-05
83000,190.65,9.53899E-06
83500,189.65,8.76542E-06
84000,188.65,8.05098E-06
84500,187.65,7.39143E-06
85000,186.946,6.77222E-06
85500,186.946,6.18086E-06
86000,186.946,5.64114E-06
