ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,H2nd_m3,H2mass_pct,H2mole_pct,H2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,CH4nd_m3,CH4mass_pct,CH4mole_pct,CH4amw,
0.0,0.000,22.00,48.00,25474.273,25474.273,8.730,76.4,1.000e+05,3.788e-01,31.846,40.061,656.3,1.000e+05,1.000,-0.000,76.4,1.000e+05,3.788e-01,0.0,3.713e-01,3.863e-01,3.835e-01,1.3,1.98,652.2,0.00,0.0,-2.0,2.0,1.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,9.4226e+25,3.456e+03,1.632e+00,2.421,1.0061,7.8998e+25,69.96,83.84,2.02,1.4597e+25,25.60,15.49,4.00,6.3138e+23,4.44,0.67,16.04,
0.0,1.000,22.00,48.00,25475.273,25474.273,8.729,75.5,9.666e+04,3.695e-01,29.481,40.775,653.7,1.000e+05,0.967,1.000,75.5,9.666e+04,3.695e-01,0.0,3.617e-01,3.775e-01,3.742e-01,1.3,2.14,649.5,2.26,0.0,-2.1,2.2,1.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,9.2269e+25,3.465e+03,1.633e+00,2.409,1.0042,7.7427e+25,70.35,83.91,2.02,1.4300e+25,25.73,15.50,4.00,5.4305e+23,3.92,0.59,16.04,
0.0,2.000,22.00,48.00,25476.273,25474.273,8.729,74.6,9.344e+04,3.605e-01,29.481,40.775,651.0,1.000e+05,0.934,2.000,74.6,9.344e+04,3.605e-01,0.0,3.523e-01,3.688e-01,3.650e-01,1.2,2.30,646.9,2.30,0.0,-2.3,2.3,1.2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,9.0362e+25,3.475e+03,1.635e+00,2.399,1.0028,7.5886e+25,70.70,83.98,2.02,1.4009e+25,25.84,15.50,4.00,4.6708e+23,3.46,0.52,16.04,
0.0,3.000,22.00,48.00,25477.273,25474.273,8.728,73.7,9.032e+04,3.517e-01,29.481,40.775,648.2,1.000e+05,0.903,3.000,73.7,9.032e+04,3.517e-01,0.0,3.432e-01,3.605e-01,3.588e-01,2.0,2.46,641.7,2.34,0.0,-2.4,2.5,2.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,8.8502e+25,3.484e+03,1.636e+00,2.391,1.0019,7.4377e+25,71.01,84.04,2.02,1.3723e+25,25.94,15.51,4.00,4.0174e+23,3.05,0.45,16.04,
0.0,4.000,22.00,48.00,25478.273,25474.273,8.727,72.8,8.731e+04,3.433e-01,29.481,40.775,645.4,1.000e+05,0.873,4.000,72.8,8.731e+04,3.433e-01,0.0,3.344e-01,3.524e-01,3.509e-01,2.2,2.62,638.3,2.39,0.0,-2.6,2.7,2.2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,8.6686e+25,3.494e+03,1.638e+00,2.383,1.0014,7.2897e+25,71.28,84.09,2.02,1.3444e+25,26.03,15.51,4.00,3.4554e+23,2.68,0.40,16.04,
0.0,5.000,22.00,48.00,25479.273,25474.273,8.726,71.9,8.440e+04,3.350e-01,29.481,40.775,642.5,1.000e+05,0.844,5.000,71.9,8.440e+04,3.350e-01,0.0,3.259e-01,3.445e-01,3.465e-01,3.4,2.77,631.8,2.43,0.0,-2.7,2.8,3.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,8.4914e+25,3.504e+03,1.639e+00,2.376,1.0013,7.1447e+25,71.53,84.14,2.02,1.3170e+25,26.11,15.51,4.00,2.9720e+23,2.36,0.35,16.04,
0.0,6.000,22.00,48.00,25480.273,25474.273,8.726,71.0,8.149e+04,3.266e-01,28.454,39.870,639.7,1.000e+05,0.815,5.826,71.0,8.149e+04,3.266e-01,0.0,3.172e-01,3.364e-01,3.371e-01,3.2,2.93,629.7,2.48,0.0,-2.9,3.0,3.2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,8.2989e+25,3.512e+03,1.640e+00,2.369,1.0004,6.9862e+25,71.79,84.18,2.02,1.2882e+25,26.21,15.52,4.00,2.4522e+23,2.00,0.30,16.04,
0.0,7.000,22.00,48.00,25481.273,25474.273,8.725,70.2,7.867e+04,3.185e-01,28.454,39.870,636.9,1.000e+05,0.787,6.826,70.2,7.867e+04,3.185e-01,0.0,3.088e-01,3.285e-01,3.324e-01,4.4,3.09,623.4,2.53,0.0,-3.0,3.1,4.4,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,8.1114e+25,3.520e+03,1.642e+00,2.363,1.0001,6.8311e+25,72.01,84.22,2.02,1.2600e+25,26.30,15.53,4.00,2.0234e+23,1.69,0.25,16.04,
0.0,8.000,22.00,48.00,25482.273,25474.273,8.724,69.3,7.595e+04,3.106e-01,28.454,39.870,633.9,1.000e+05,0.760,7.826,69.3,7.595e+04,3.106e-01,0.0,3.007e-01,3.209e-01,3.240e-01,4.3,3.25,620.7,2.58,0.0,-3.2,3.3,4.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,7.9287e+25,3.528e+03,1.643e+00,2.357,1.0001,6.6796e+25,72.19,84.25,2.02,1.2324e+25,26.38,15.54,4.00,1.6695e+23,1.43,0.21,16.04,
0.0,9.000,22.00,48.00,25483.273,25474.273,8.724,68.5,7.333e+04,3.030e-01,28.454,39.870,630.9,1.000e+05,0.733,8.826,68.5,7.333e+04,3.030e-01,0.0,2.928e-01,3.135e-01,3.156e-01,4.2,3.40,618.2,2.64,0.0,-3.3,3.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.42,46.51,318.04,18.00,73.18,171.92,19.81,62064.0,7.7506e+25,3.536e+03,1.645e+00,2.353,1.0005,6.5313e+25,72.35,84.27,2.02,1.2055e+25,26.44,15.55,4.00,1.3775e+23,1.21,0.18,16.04,
