      Time    Hgtkm GeocenLat  Lon(East)   DensMean   PresMean    Tmean   EWmean   NSmean   DensPert   PresPert    Tpert   EWpert  NSpert SDden% SDprs% SDtemK SDuwnd SDvwnd SDwwnd Wpert SpdAvg  SpdStd SOSmean SOSpert Sev
      0.00  200.000  40.00000 -105.27000 4.2191e-010 1.8993e-004 1240.60   97.89  -16.22 4.3268e-010 1.7805e-004 1134.03  156.98   12.45   6.10   7.20 100.49  87.00  87.00  12.01  -4.96 137.86  77.33  793.88  759.02   0
      0.00  199.500  40.00000 -105.27000 4.2750e-010 1.9189e-004 1237.93   97.16  -16.10 4.3440e-010 1.7960e-004 1140.25  156.10   26.72   6.09   7.20 100.27  87.00  87.00  12.01  -5.75 137.33  77.33  792.72  760.80   0
      0.00  199.000  40.00000 -105.27000 4.3319e-010 1.9387e-004 1235.24   96.44  -15.99 4.3187e-010 1.8272e-004 1167.76  153.51   25.49   6.09   7.20 100.05  87.00  87.00  12.01   1.35 136.80  77.33  791.56  769.63   0
      0.00  198.500  40.00000 -105.27000 4.3898e-010 1.9588e-004 1232.53   95.72  -15.87 4.3481e-010 1.8501e-004 1175.28  159.93   16.12   6.08   7.19  99.84  87.00  87.00  12.01   3.20 136.28  77.33  790.39  771.81   0
      0.00  198.000  40.00000 -105.27000 4.4487e-010 1.9792e-004 1229.80   95.00  -15.75 4.3806e-010 1.8781e-004 1185.11  161.59   48.08   6.07   7.19  99.61  87.00  87.00  12.01   4.79 135.76  77.33  789.21  774.73   0
      0.00  197.500  40.00000 -105.27000 4.5087e-010 1.9998e-004 1227.04   94.28  -15.63 4.4714e-010 1.8981e-004 1174.36  147.08   60.67   6.06   7.19  99.39  87.00  87.00  12.01   5.51 135.24  77.33  788.02  770.92   0
      0.00  197.000  40.00000 -105.27000 4.5697e-010 2.0208e-004 1224.26   93.56  -15.51 4.4896e-010 1.9485e-004 1201.54  158.65   68.05   6.06   7.19  99.17  87.00  87.00  12.01   6.45 134.73  77.33  786.82  779.49   0
      0.00  196.500  40.00000 -105.27000 4.6319e-010 2.0420e-004 1221.46   92.84  -15.39 4.4604e-010 1.9808e-004 1230.40  148.25   40.96   6.05   7.18  98.94  87.00  87.00  12.01   7.27 134.22  77.33  785.62  788.49   0
      0.00  196.000  40.00000 -105.27000 4.6951e-010 2.0635e-004 1218.63   92.12  -15.27 4.4106e-010 2.0164e-004 1267.63  173.05   43.33   6.04   7.18  98.71  87.00  87.00  12.01   6.26 133.71  77.33  784.41  800.02   0
      0.00  195.500  40.00000 -105.27000 4.7595e-010 2.0853e-004 1215.78   91.41  -15.16 4.6370e-010 1.9930e-004 1192.68  153.22   29.38   6.03   7.18  98.48  87.00  87.00  12.01   6.48 133.20  77.33  783.19  775.71   0
      0.00  195.000  40.00000 -105.27000 4.8251e-010 2.1074e-004 1212.90   90.69  -15.04 4.6440e-010 2.0248e-004 1210.84  164.73    9.09   6.03   7.18  98.25  87.00  87.00  12.00   4.08 132.70  77.33  781.96  781.29   0
      0.00  194.500  40.00000 -105.27000 4.8919e-010 2.1298e-004 1210.01   89.98  -14.92 4.5994e-010 2.0819e-004 1257.98  140.57   28.00   6.02   7.17  98.01  87.00  87.00  12.00   8.46 132.20  77.33  780.72  796.05   0
      0.00  194.000  40.00000 -105.27000 4.9599e-010 2.1525e-004 1207.08   89.27  -14.80 4.5928e-010 2.1190e-004 1283.26  153.26   52.15   6.01   7.17  97.77  87.00  87.00  12.00   3.96 131.71  77.33  779.47  803.70   0
      0.00  193.500  40.00000 -105.27000 5.0292e-010 2.1756e-004 1204.14   88.56  -14.68 4.6996e-010 2.1412e-004 1268.25  156.11   24.28   6.00   7.17  97.53  87.00  87.00  12.00   6.27 131.21  77.33  778.22  798.67   0
      0.00  193.000  40.00000 -105.27000 5.0997e-010 2.1989e-004 1201.16   87.85  -14.56 4.6949e-010 2.1575e-004 1280.14  148.96   21.20   6.00   7.17  97.29  87.00  87.00  12.00   3.26 130.72  77.33  776.96  802.09   0
      0.00  192.500  40.00000 -105.27000 5.1716e-010 2.2226e-004 1198.17   87.14  -14.45 4.6885e-010 2.1751e-004 1293.33  129.66   72.96   5.99   7.16  97.05  87.00  87.00  12.00   4.42 130.24  77.33  775.69  805.90   0
      0.00  192.000  40.00000 -105.27000 5.2448e-010 2.2467e-004 1195.14   86.44  -14.33 4.8796e-010 2.1842e-004 1248.89  129.68   71.32   5.98   7.16  96.81  87.00  87.00  12.00   5.28 129.75  77.33  774.41  791.63   0
      0.00  191.500  40.00000 -105.27000 5.3195e-010 2.2711e-004 1192.10   85.74  -14.21 4.8629e-010 2.2207e-004 1275.08  135.93   57.72   5.97   7.16  96.56  87.00  87.00  12.00   5.06 129.27  77.33  773.12  799.57   0
      0.00  191.000  40.00000 -105.27000 5.3955e-010 2.2958e-004 1189.02   85.03  -14.09 4.9683e-010 2.2130e-004 1244.66  140.68   20.96   5.97   7.16  96.31  87.00  87.00  12.00   4.92 128.79  77.33  771.82  789.67   0
      0.00  190.500  40.00000 -105.27000 5.4730e-010 2.3209e-004 1185.93   84.33  -13.97 4.9648e-010 2.2452e-004 1264.66  138.17   12.65   5.96   7.15  96.06  87.00  87.00  12.00   5.47 128.32  77.33  770.51  795.68   0
      0.00  190.000  40.00000 -105.27000 5.5521e-010 2.3464e-004 1182.80   83.63  -13.86 4.9491e-010 2.2985e-004 1299.84  124.81   47.56   5.95   7.15  95.81  87.00  87.00  12.00   1.18 127.85  77.33  769.20  806.35   0
      0.00  189.500  40.00000 -105.27000 5.6326e-010 2.3722e-004 1179.65   82.94  -13.74 5.1647e-010 2.3278e-004 1262.42  117.60   45.84   5.94   7.15  95.55  87.00  87.00  12.00  -4.98 127.38  77.33  767.87  794.35   0
      0.00  189.000  40.00000 -105.27000 5.7147e-010 2.3984e-004 1176.47   82.24  -13.62 5.2323e-010 2.3469e-004 1257.30  128.47   32.36   5.94   7.15  95.29  87.00  87.00  12.00  -4.45 126.91  77.33  766.54  792.43   0
      0.00  188.500  40.00000 -105.27000 5.7984e-010 2.4250e-004 1173.27   81.54  -13.50 5.3386e-010 2.3678e-004 1244.24  120.28   42.92   5.93   7.14  95.03  87.00  87.00  12.00  -2.92 126.45  77.33  765.19  787.99   0
      0.00  188.000  40.00000 -105.27000 5.8838e-010 2.4520e-004 1170.04   80.85  -13.39 5.4528e-010 2.3683e-004 1219.39   93.17   36.21   5.92   7.14  94.77  87.00  87.00  12.00  -3.17 126.00  77.33  763.84  779.78   0
