ElapsedTime_s,Height_km,Latitude_deg,LongitudeW_deg,TotalRadius_km,LatitudeRadius_km,Gravity_ms2,Temperature_K,Pressure_Pa,Density_kgm3,PressureScaleHeight_km,DensityScaleHeight_km,SpeedOfSound_ms,PressureAtSurface_Pa,SigmaLevel,PressureAltitude_km,ReferenceTemperature_K,ReferencePressure_Pa,ReferenceDensity_kgm3,ProfileWeight,LowDensity_kgm3,HighDensity_kgm3,PerturbedDensity_kgm3,DensityPerturbation_pct,DensityStandardDeviation_pct,PerturbedSpeedOfSound_ms,RelativeStepSize,DensityDeviation_pct,LowDensityDeviation_pct,HighDensityDeviation_pct,PerturbedDensityDeviation_pct,EWWind_ms,NSWind_ms,EWWindPerturbation_ms,NSWindPerturbation_ms,PerturbedEWWind_ms,PerturbedNSWind_ms,EWStandardDeviation_ms,NSStandardDeviation_ms,LongitudeOfTheSun,SubsolarLatitude_deg,SubsolarLongitudeW_deg,LocalSolarTime_hr,SolarZenithAngle_deg,OneWayLightTime_min,OrbitalRadius_AU,SecondsPerSol,TotalNumberDensity_m3,SpecificGasConstant_JkgK,SpecificHeatRatio,AverageMolecularWeight,CompressibilityFactor,CO2nd_m3,CO2mass_pct,CO2mole_pct,CO2amw,COnd_m3,COmass_pct,COmole_pct,COamw,N2nd_m3,N2mass_pct,N2mole_pct,N2amw,Hend_m3,Hemass_pct,Hemole_pct,Heamw,Hnd_m3,Hmass_pct,Hmole_pct,Hamw,Nnd_m3,Nmass_pct,Nmole_pct,Namw,Ond_m3,Omass_pct,Omole_pct,Oamw,
0.0,0.000,22.00,48.00,6051.800,6051.800,8.870,735.3,9.209e+06,6.479e+01,15.819,19.555,419.0,9.209e+06,1.000,-0.000,735.3,9.209e+06,6.479e+01,0.0,6.352e+01,6.609e+01,6.561e+01,1.3,1.98,416.4,0.00,0.0,-2.0,2.0,1.3,-1.0,-0.1,-0.3,0.9,-1.3,0.9,1.0,0.5,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.9819e+26,1.914e+02,1.235e+00,43.440,1.0100,8.6675e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,3.1437e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,0.500,22.00,48.00,6052.300,6051.800,8.869,731.5,8.923e+06,6.315e+01,15.819,19.555,417.8,9.209e+06,0.969,0.500,731.5,8.923e+06,6.315e+01,0.0,6.192e+01,6.442e+01,6.389e+01,1.2,1.98,415.3,3.13,0.0,-2.0,2.0,1.2,-1.6,-0.1,-0.0,1.1,-1.7,1.0,1.1,0.6,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.7551e+26,1.914e+02,1.235e+00,43.440,1.0091,8.4487e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,3.0643e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,1.000,22.00,48.00,6052.800,6051.800,8.867,727.7,8.645e+06,6.156e+01,15.819,19.555,416.5,9.209e+06,0.939,1.000,727.7,8.645e+06,6.156e+01,0.0,6.035e+01,6.279e+01,6.220e+01,1.0,1.98,414.3,3.15,0.0,-2.0,2.0,1.0,-2.2,-0.2,-0.1,1.2,-2.4,1.0,1.2,0.6,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.5341e+26,1.914e+02,1.235e+00,43.440,1.0083,8.2354e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.9869e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,1.500,22.00,48.00,6053.300,6051.800,8.866,724.0,8.373e+06,5.998e+01,15.628,19.290,415.2,9.209e+06,0.909,1.488,724.0,8.373e+06,5.998e+01,0.0,5.881e+01,6.118e+01,6.099e+01,1.7,1.98,411.7,3.17,-0.0,-2.0,2.0,1.7,-2.8,-0.2,-0.3,1.1,-3.1,0.9,1.4,0.7,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.3157e+26,1.914e+02,1.235e+00,43.440,1.0074,8.0247e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.9105e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,2.000,22.00,48.00,6053.800,6051.800,8.864,720.2,8.109e+06,5.845e+01,15.628,19.290,413.9,9.209e+06,0.881,1.988,720.2,8.109e+06,5.845e+01,0.0,5.730e+01,5.962e+01,5.947e+01,1.7,1.98,410.3,3.18,-0.0,-2.0,2.0,1.7,-3.5,-0.2,-0.1,1.2,-3.6,0.9,1.5,0.7,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,8.1030e+26,1.914e+02,1.235e+00,43.440,1.0065,7.8193e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.8360e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,2.500,22.00,48.00,6054.300,6051.800,8.863,716.3,7.851e+06,5.694e+01,15.454,19.110,412.6,9.209e+06,0.853,2.466,716.3,7.851e+06,5.694e+01,0.0,5.582e+01,5.808e+01,5.842e+01,2.6,1.98,407.3,3.20,-0.0,-2.0,2.0,2.6,-4.1,-0.3,-0.3,1.1,-4.4,0.8,1.6,0.8,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.8937e+26,1.914e+02,1.235e+00,43.440,1.0058,7.6174e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.7628e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,3.000,22.00,48.00,6054.800,6051.800,8.861,712.4,7.601e+06,5.547e+01,15.454,19.110,411.3,9.209e+06,0.825,2.966,712.4,7.601e+06,5.547e+01,0.0,5.438e+01,5.658e+01,5.673e+01,2.3,1.98,406.7,3.22,-0.0,-2.0,2.0,2.3,-4.7,-0.3,-0.3,1.1,-5.0,0.8,1.7,0.8,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.6898e+26,1.914e+02,1.234e+00,43.440,1.0050,7.4207e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.6914e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,3.500,22.00,48.00,6055.300,6051.800,8.860,708.5,7.357e+06,5.403e+01,15.303,18.959,410.0,9.209e+06,0.799,3.437,708.5,7.357e+06,5.403e+01,0.0,5.297e+01,5.511e+01,5.563e+01,3.0,1.98,404.0,3.24,0.0,-2.0,2.0,3.0,-5.3,-0.4,0.0,1.1,-5.3,0.7,1.8,0.9,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.4897e+26,1.914e+02,1.234e+00,43.440,1.0042,7.2275e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.6214e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,4.000,22.00,48.00,6055.800,6051.800,8.858,704.6,7.120e+06,5.262e+01,15.303,18.959,408.6,9.209e+06,0.773,3.937,704.6,7.120e+06,5.262e+01,0.0,5.159e+01,5.367e+01,5.408e+01,2.8,1.98,403.1,3.25,0.0,-2.0,2.0,2.8,-5.9,-0.4,-0.1,1.3,-6.0,0.9,1.9,1.0,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.2947e+26,1.914e+02,1.234e+00,43.440,1.0034,7.0394e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.5532e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
0.0,4.500,22.00,48.00,6056.300,6051.800,8.857,700.7,6.889e+06,5.123e+01,15.150,18.630,407.4,9.209e+06,0.748,4.398,700.7,6.889e+06,5.123e+01,0.0,5.022e+01,5.225e+01,5.253e+01,2.5,1.98,402.3,3.27,-0.0,-2.0,2.0,2.5,-6.5,-0.4,0.1,1.2,-6.4,0.7,2.0,1.0,262.53,-2.62,56.59,11.43,26.01,5.86,0.72,10087200.0,7.1016e+26,1.914e+02,1.234e+00,43.440,1.0028,6.8530e+26,97.74,96.50,44.00,0.0000e+00,0.00,0.00,28.00,2.4855e+25,2.26,3.50,28.00,0.0000e+00,0.00,0.00,4.00,0.0000e+00,0.00,0.00,1.01,0.0000e+00,0.00,0.00,14.00,0.0000e+00,0.00,0.00,16.00,
